TELERIDE_NUMBER,STOP_NAME,STATUS,point
1111,McKnight-Westwinds LRT Station,INACTIVE,POINT (-113.975212403158 51.1082967768527)
6579,SB Bonaventure DR @ Fairmount DR SE,ACTIVE,POINT (-114.060418715856 50.9516312949419)
9497,EB Dufferin BV @ 54 ST SE,ACTIVE,POINT (-113.954393301434 50.9538955278524)
9638,WB Martin Crossing DR @ Martin Crossing MR NE,ACTIVE,POINT (-113.963451626647 51.1178780841829)
9724,NB Panorama Hills BV NW @ Panorama Hills DR NW,ACTIVE,POINT (-114.075330737733 51.1510355425975)
3831,SB Tuscany Ravine RD @ Tuscany DR NW,ACTIVE,POINT (-114.241895426109 51.1184861597406)
9342,EB Hidden Creek WY @  Hidden Creek BV NW,ACTIVE,POINT (-114.100255864187 51.1599677291123)
8694,NB Elbow DR @ Sabrina RD SW,ACTIVE,POINT (-114.084518457388 50.9576868339067)
4983,EB Martin Crossing Dr @ Martin Crossing PA NE,ACTIVE,POINT (-113.962432630114 51.1177256659845)
7332,EB Berkley DR @ Hunterview DR NW,ACTIVE,POINT (-114.084008407448 51.1265977407771)
8385,NB Erin Woods DR @ Erin Green WY SE,ACTIVE,POINT (-113.97308996567 51.0189489920981)
8915,NB Spruce DR @ Hemlock CR SW,ACTIVE,POINT (-114.135070959143 51.0479875966498)
3409,EB 26 AV SW @ 51 ST SW,ACTIVE,POINT (-114.157068748728 51.0304511109028)
6218,NB 36 ST SE @ 17 AV SE,INACTIVE,POINT (-113.981380554953 51.0386199607304)
2563,EB 88 AV NE @ 52 ST NE,ACTIVE,POINT (-113.957615741144 51.1323215395277)
7678,EB Douglasdale BV @ Douglasview PA SE,ACTIVE,POINT (-113.988623902756 50.9405446172402)
9218,NB Evergreen DR @ Evergreen PZ SW,ACTIVE,POINT (-114.101998099013 50.9211124510262)
7378,WB MacEwan DR @ MacEwan Valley GA NW,ACTIVE,POINT (-114.113398614165 51.1403158295545)
9606,EB Richard RD @ Richardson WY SW,ACTIVE,POINT (-114.124068591735 51.0113781070081)
9938,NB Ogden RD @ 78 AV SE,ACTIVE,POINT (-113.99870494616 50.9829122467116)
2845,SB 52 ST SE @ 86 AV SE,ACTIVE,POINT (-113.958843528029 50.9749757387439)
7527,NB 12 ST NE @ 30 AV NE,ACTIVE,POINT (-114.026462061952 51.0796243001106)
4470,NB Dover Ridge DR @ Dovercroft RD SE,ACTIVE,POINT (-113.987496557664 51.0195644874686)
8666,WB 11 AV @ 12 ST SW,INACTIVE,POINT (-114.091844786745 51.0432582591109)
3947,EB 9 AV SE @ 15 ST SE,INACTIVE,POINT (-114.024465839216 51.0373061856755)
9179,EB Southland DR @ Bradbury DR SW,ACTIVE,POINT (-114.098154579444 50.9612378922634)
4608,WB 12 AV NE @ 5 ST NE,ACTIVE,POINT (-114.051301913154 51.0633436128768)
8233,EB Shawnessy BV @ Shawnessy DR SW,ACTIVE,POINT (-114.073258876313 50.9127267818641)
4602,SB Lancaster WY @ Lathom CR SW,ACTIVE,POINT (-114.126619283379 50.9980296006468)
7642,NB Temple DR @ 43 AV NE,ACTIVE,POINT (-113.939529494042 51.0919058432278)
7781,SB Signal Hill DR @ Sienna Hills PL SW,ACTIVE,POINT (-114.170360342938 51.0238695886339)
9026,EB 21 AV NW @ 13 ST NW,INACTIVE,POINT (-114.091725128011 51.0713461618849)
2084,NB 29 ST NE @ 23 AV NE,ACTIVE,POINT (-113.991742257911 51.0730693123735)
4201,NB Panatella BV @ Panatella CR NW,ACTIVE,POINT (-114.082141972201 51.1652285896962)
4932,EB Everstone BV @ Everstone DR SW,ACTIVE,POINT (-114.104741241872 50.9107418808812)
4206,NB Macleod TR @ 86 AV SE,ACTIVE,POINT (-114.071366841267 50.9763459289289)
7554,SB 28 ST NE @ 5 AV NE,ACTIVE,POINT (-113.993380206319 51.0560021015912)
3762,Mount Royal GA @ Westmount WY SW,INACTIVE,POINT (-114.125783175286 51.008784842368)
5824,NB Silverdale DR @ Silver Springs GA NW,ACTIVE,POINT (-114.186194735323 51.1030995658929)
4338,WB 26 AV NE @ Rundlehill DR,ACTIVE,POINT (-113.970379717255 51.0781830999233)
